customer_id,age,gender,region,plan_type,total_usage,login_count,transaction_count,total_revenue,satisfaction_score,support_tickets,registration_date,last_activity_date,days_since_registration,days_since_activity,usage_intensity,engagement_score,marketing_channel,device_type,churned
1,56,M,West,Premium,115,18,9,271.6196325779364,3.1101116826665076,1,2025-09-06 19:08:54.146636,2025-12-14 19:08:54.146636,358,259,0.3203342618384401,0.07520891364902507,Referral,Desktop,1
2,69,M,West,Enterprise,119,16,8,414.50794528617985,4.95155750024072,1,2024-12-29 19:08:54.146636,2025-04-07 19:08:54.146636,609,510,0.19508196721311474,0.03934426229508197,Referral,Mobile,1
3,46,M,South,Enterprise,135,16,1,1131.3053337422857,3.3781000967621457,0,2024-06-18 19:08:54.146636,2024-09-25 19:08:54.146636,803,704,0.16791044776119404,0.021144278606965175,Paid Ads,Mobile,1
4,32,M,South,Enterprise,221,15,6,1022.0988749485709,4.875535305145985,1,2025-09-08 19:08:54.146636,2025-12-16 19:08:54.146636,356,257,0.6190476190476191,0.058823529411764705,Email,Mobile,1
5,60,M,South,Premium,405,15,3,1278.6296162928443,4.38821332115612,0,2023-10-17 19:08:54.146636,2024-01-24 19:08:54.146636,1048,949,0.38608198284080075,0.017159199237368923,Email,Desktop,1
6,25,M,North,Premium,105,12,9,1090.939240868493,4.204453070123554,3,2025-09-16 19:08:54.146636,2025-12-24 19:08:54.146636,348,249,0.3008595988538682,0.06017191977077364,Referral,Mobile,1
7,38,M,North,Basic,225,18,11,309.41066511618783,1.643030997167363,3,2024-08-01 19:08:54.146636,2024-11-08 19:08:54.146636,759,660,0.29605263157894735,0.038157894736842106,Email,Desktop,1
8,56,M,North,Basic,327,14,9,1319.2721681910325,2.321039825207488,1,2025-04-18 19:08:54.146636,2025-07-26 19:08:54.146636,499,400,0.654,0.046,Referral,Desktop,1
9,36,M,South,Basic,1091,11,9,426.40098097491,4.159074864866333,0,2023-11-03 19:08:54.146636,2024-02-10 19:08:54.146636,1031,932,1.057170542635659,0.01937984496124031,Paid Ads,Desktop,1
10,40,F,North,Premium,526,19,8,608.0700557168536,4.971026059274681,5,2026-05-17 19:08:54.146636,2026-08-24 19:08:54.146636,105,6,4.962264150943396,0.25471698113207547,Organic,Desktop,0
11,28,F,West,Basic,258,13,5,1284.9193523094557,3.4423151018105687,1,2023-12-11 19:08:54.146636,2024-03-19 19:08:54.146636,993,894,0.2595573440643863,0.018108651911468814,Referral,Mobile,1
12,28,M,West,Basic,637,14,5,4709.882170830112,1.750895157220774,2,2024-02-28 19:08:54.146636,2024-06-06 19:08:54.146636,914,815,0.6961748633879782,0.020765027322404372,Paid Ads,Tablet,1
13,41,F,South,Premium,611,13,6,108.45129371018702,1.2379697998152261,2,2024-05-26 19:08:54.146636,2024-09-02 19:08:54.146636,826,727,0.7388149939540508,0.022974607013301087,Organic,Tablet,1
14,53,F,East,Basic,59,13,12,155.47131061135025,2.873091483574658,1,2025-09-19 19:08:54.146636,2025-12-27 19:08:54.146636,345,246,0.17052023121387283,0.07225433526011561,Referral,Tablet,1
15,57,M,West,Premium,260,9,8,2057.744788195304,1.969456569540256,3,2024-11-13 19:08:54.146636,2025-02-20 19:08:54.146636,655,556,0.39634146341463417,0.025914634146341462,Organic,Desktop,1
16,41,M,North,Premium,260,13,13,1983.6031494617062,3.8109681994287614,1,2023-09-13 19:08:54.146636,2023-12-21 19:08:54.146636,1082,983,0.24007386888273316,0.024007386888273315,Social Media,Mobile,1
17,20,F,East,Enterprise,275,10,9,388.4998962955805,2.451340514123044,3,2025-03-19 19:08:54.146636,2025-06-26 19:08:54.146636,529,430,0.5188679245283019,0.035849056603773584,Organic,Desktop,1
18,39,M,West,Basic,607,15,8,206.40559425228776,4.581320520872005,5,2025-04-25 19:08:54.146636,2025-08-02 19:08:54.146636,492,393,1.231237322515213,0.04665314401622718,Referral,Desktop,1
19,19,M,West,Basic,117,12,10,2404.652332643462,1.6237078238247364,1,2026-06-13 19:08:54.146636,2026-08-30 19:08:54.146636,78,0,1.481012658227848,0.27848101265822783,Organic,Desktop,0
20,41,M,West,Basic,103,14,9,604.9136230419147,4.113463505552909,0,2026-04-10 19:08:54.146636,2026-07-18 19:08:54.146636,142,43,0.7202797202797203,0.16083916083916083,Paid Ads,Tablet,1
21,61,F,South,Basic,180,19,9,136.98671707800324,3.3053043294764537,0,2025-06-29 19:08:54.146636,2025-10-06 19:08:54.146636,427,328,0.4205607476635514,0.06542056074766354,Paid Ads,Mobile,1
22,47,F,East,Basic,122,19,8,521.7939314732278,2.714934065132568,2,2025-06-02 19:08:54.146636,2025-09-09 19:08:54.146636,454,355,0.2681318681318681,0.05934065934065934,Email,Mobile,1
23,55,F,North,Premium,126,13,12,737.1311499303278,2.481187154809957,2,2023-12-29 19:08:54.146636,2024-04-06 19:08:54.146636,975,876,0.1290983606557377,0.025614754098360656,Referral,Mobile,1
24,19,M,West,Premium,106,9,12,1634.928922279353,3.8097204682907804,2,2025-06-11 19:08:54.146636,2025-09-18 19:08:54.146636,445,346,0.23766816143497757,0.04708520179372197,Paid Ads,Mobile,1
25,38,M,North,Premium,272,18,6,1149.103645486766,4.641824996022562,3,2025-01-08 19:08:54.146636,2025-04-17 19:08:54.146636,599,500,0.4533333333333333,0.04,Email,Tablet,1
26,50,M,South,Premium,315,10,8,381.7658438886299,3.1942025965088856,1,2023-09-10 19:08:54.146636,2023-12-18 19:08:54.146636,1085,986,0.2900552486187845,0.016574585635359115,Referral,Tablet,1
27,29,M,North,Basic,70,16,12,2680.991031449535,1.9435167254329078,3,2023-09-18 19:08:54.146636,2023-12-26 19:08:54.146636,1077,978,0.06493506493506493,0.025974025974025976,Organic,Desktop,1
28,39,M,East,Enterprise,370,14,8,282.51611601043976,2.981035974035765,2,2024-04-09 19:08:54.146636,2024-07-17 19:08:54.146636,873,774,0.4233409610983982,0.02517162471395881,Organic,Mobile,1
29,61,F,East,Premium,112,14,8,724.9853053249637,1.1181287886265445,1,2023-10-01 19:08:54.146636,2024-01-08 19:08:54.146636,1064,965,0.10516431924882629,0.020657276995305163,Referral,Tablet,1
30,42,M,North,Basic,78,15,13,2986.7609932808446,1.677043580371976,2,2026-03-30 19:08:54.146636,2026-07-07 19:08:54.146636,153,54,0.5064935064935064,0.18181818181818182,Organic,Mobile,0
31,66,F,North,Basic,172,19,6,813.606467018845,3.703964331021087,5,2025-07-18 19:08:54.146636,2025-10-25 19:08:54.146636,408,309,0.42053789731051344,0.061124694376528114,Email,Tablet,1
32,44,M,South,Basic,240,23,10,2973.242402235006,1.3362933039428384,2,2023-10-29 19:08:54.146636,2024-02-05 19:08:54.146636,1036,937,0.23143683702989393,0.03182256509161042,Social Media,Mobile,1
33,59,F,East,Premium,305,14,6,2517.4564660611836,4.875574405805199,4,2026-01-23 19:08:54.146636,2026-05-02 19:08:54.146636,219,120,1.3863636363636365,0.09090909090909091,Social Media,Mobile,1
34,45,M,West,Basic,233,20,7,1377.6368899626746,3.9931992368059013,1,2024-08-17 19:08:54.146636,2024-11-24 19:08:54.146636,743,644,0.3131720430107527,0.036290322580645164,Paid Ads,Desktop,1
35,33,M,North,Premium,605,14,7,834.1231986185562,2.8068702218392545,1,2026-05-17 19:08:54.146636,2026-08-24 19:08:54.146636,105,6,5.7075471698113205,0.19811320754716982,Organic,Desktop,0
36,32,M,East,Basic,54,21,7,1215.3184394510313,4.010090290606867,2,2026-01-27 19:08:54.146636,2026-05-06 19:08:54.146636,215,116,0.25,0.12962962962962962,Email,Tablet,1
37,64,M,South,Basic,534,13,6,1663.021850747465,4.963189030695667,1,2024-02-15 19:08:54.146636,2024-05-24 19:08:54.146636,927,828,0.5754310344827587,0.020474137931034482,Referral,Desktop,1
38,68,F,West,Basic,314,13,10,1329.3650320316515,3.549869238350909,2,2023-09-29 19:08:54.146636,2024-01-06 19:08:54.146636,1066,967,0.2942830365510778,0.02155576382380506,Organic,Desktop,1
